Id,Product_id,Link,Description,Result Date
"1. 1990 based estimates, industrial consumption of energy (ICE), energy fuel consumption of manufacturing industries in gigajoules, by North American Industry Classification System (NAICS) Archived",Table: 25-10-0008-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510000801,"Description: This table contains 511 series, with data for years 1990 - 1990 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 511 series, with data for years 1990 - 1990 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Fuel type (14 items: Total, energy consummed as fuel (higher heating value);Coal;Coal coke;Coke oven gas; ...); North American Industry Classification System (NAICS) (66 items: Manufacturing;Food manufacturing;Fruit and vegetable preserving and specialty food manufacturing;Dairy product manufacturing; ...).More",2004-04-16
"2. 1990 based estimates, industrial consumption of energy (ICE), energy fuel consumption of manufacturing industries in natural units, by North American Industry Classification System (NAICS) Archived",Table: 25-10-0007-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510000701,"Description: This table contains 511 series, with data for years 1990 - 1990 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 511 series, with data for years 1990 - 1990 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Fuel type (14 items: Total, energy consumed as fuel (higher heating value);Coal;Coal coke;Coke oven gas; ...); North American Industry Classification System (NAICS) (66 items: Manufacturing;Food manufacturing;Fruit and vegetable preserving and specialty food manufacturing;Dairy product manufacturing; ...).More",2004-04-16
3. 1991 Aboriginal Peoples Survey - Adults Microdata File Archived,Public use microdata: 89M0013X,/n1/en/catalogue/89M0013X,"Description: This public use microdata file provides unaggregated data on the Aboriginal adult population - those who identify with their Aboriginal origin(s) and those who do not. For persons who...Description: This public use microdata file provides unaggregated data on the Aboriginal adult population - those who identify with their Aboriginal origin(s) and those who do not. For persons who identify, it contains almost 700 variables from the 1991 survey, such as, the group with which they identify, language proficiency, disability, chronic health conditions, schooling, work experience and the 1991 Census variables such as, income levels, marital status, fertility. The same census variables are provided for the population who does not identify.More",1995-06-30
"4. 2006 Profile of Aboriginal Children, Youth and Adults Archived",Profile of a community or region: 89-635-X,/n1/en/catalogue/89-635-X,"Description: The online product 2006 Profile of Aboriginal Children, Youth and Adults provides an extensive set of data about Aboriginal children, youth and adults (Métis, Inuit and off-reserve...Description: The online product 2006 Profile of Aboriginal Children, Youth and Adults provides an extensive set of data about Aboriginal children, youth and adults (Métis, Inuit and off-reserve North American Indian) living in urban, rural and northern locations across Canada. Key indicators from the 2006 Aboriginal Children's Survey (ACS) and the 2006 Aboriginal Peoples Survey (APS) are presented as part of an interactive online tool and provide data on a wide range of topics, including: family and community; childcare; nurturing; healthy living; food and nutrition; languages; education; social activities; labour activity; income; communications technology; housing; and community wellness. These data can be used to better understand the social and living conditions of Aboriginal people. Data are presented for Aboriginal Peoples using the concepts of Aboriginal identity, Treaty Indian or Registered Indian status (as defined by the Indian Act of Canada) and Aboriginal ancestry.More",2009-01-16
"5. Accommodation services, distribution of sales by type of service provided",Table: 21-10-0237-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110023701,"Description: This table contains 10 series, with data for years 2014 - 2016 (not all combinations necessarily have data for all years).     This table contains data described by the following...Description: This table contains 10 series, with data for years 2014 - 2016 (not all combinations necessarily have data for all years).     This table contains data described by the following dimensions (Not all combinations are available):  Geography (1 item: Canada);  North American Industry Classification System (NAICS) (1 item: Hotels, motor hotels and motels);  Distribution of sales, type of service provided (10 items: Total sales; Room or unit accommodation for travellers; Meals and non-alcoholic beverages, prepared and served or dispensed for immediate consumption; Alcoholic beverages, prepared and served or dispensed for immediate consumption; ...).More",2019-03-25
"6. Accommodation services, e-commerce sales",Table: 21-10-0239-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110023901,"Description: Accommodation services, e-commerce sales,  by North American Industry Classification System,  (NAICS) Hotels, motor hotels and motels, which includes all members under Sales, (dollars...Description: Accommodation services, e-commerce sales,  by North American Industry Classification System,  (NAICS) Hotels, motor hotels and motels, which includes all members under Sales, (dollars X 1,000,000) & (percent), annual, for two years of data.More",2019-03-25
"7. Accommodation services, industry expenditures",Table: 33-10-0103-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310010301,"Description: The operating expenses by North American Industry Classification System (NAICS), annual (percent) which include all members under industry expenditures, for traveller accommodation...Description: The operating expenses by North American Industry Classification System (NAICS), annual (percent) which include all members under industry expenditures, for traveller accommodation, annual (percentage), for five years of data.More",2019-03-25
"8. Accommodation services, summary statistics",Table: 33-10-0102-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310010201,"Description: The summary statistics by North American Industry Classification System (NAICS), which include: operating revenue (dollars x 1,000,000), operating expenses (dollars x 1,000,000)...Description: The summary statistics by North American Industry Classification System (NAICS), which include: operating revenue (dollars x 1,000,000), operating expenses (dollars x 1,000,000), salaries wages and benefits (dollars x 1,000,000), and operating profit margin (by percent), of all NAICS under accommodation services (721), annual, for five years of data.More",2019-03-25
9. Active enterprises with one or more employees,Table: 33-10-0136-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310013601,"Description: Active enterprises with one or more employees, by North American Industry Classification System (NAICS) and enterprise size.",2015-12-07
"10. Activities of foreign majority-owned affiliates in Canada, by industry",Table: 36-10-0447-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610044701,"Description: Activities of foreign majority-owned affiliates in Canada, by North American Industry Classification System (NAICS). Users have the option of selecting information related to the...Description: Activities of foreign majority-owned affiliates in Canada, by North American Industry Classification System (NAICS). Users have the option of selecting information related to the economic and financial activity of foreign majority-owned enterprises.More",2018-11-14
"11. Activities of foreign majority-owned affiliates in Canada, employment at establishment level, by province and industry",Table: 36-10-0451-01,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610045101,"Description: Activities of foreign majority-owned affiliates in Canada, employment at establishment level, by province and the North American Industry Classification System (NAICS). Users have the...Description: Activities of foreign majority-owned affiliates in Canada, employment at establishment level, by province and the North American Industry Classification System (NAICS). Users have the option of selecting information related to the employment at foreign majority-owned affiliates and all other firms.More",2018-11-14
