REF_DATE,GEO,DGUID,Dairy distribution,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,longitude,latitude
1946-01,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,363058.0,,,t,0,1,1
1946-01,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,159466.0,,,,0,1,1
1946-02,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,347330.0,,,t,0,1,1
1946-02,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150728.0,,,,0,1,1
1946-03,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,421165.0,,,t,0,1,1
1946-03,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,159466.0,,,,0,1,1
1946-04,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,550048.0,,,t,0,1,1
1946-04,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,156844.0,,,,0,1,1
1946-05,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,730485.0,,,t,0,1,1
1946-05,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,164708.0,,,,0,1,1
1946-06,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,886893.0,,,t,0,1,1
1946-06,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,162961.0,,,,0,1,1
1946-07,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,842766.0,,,t,0,1,1
1946-07,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,161650.0,,,,0,1,1
1946-08,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,731796.0,,,t,0,1,1
1946-08,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152475.0,,,,0,1,1
1946-09,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,630436.0,,,t,0,1,1
1946-09,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152912.0,,,,0,1,1
1946-10,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,557475.0,,,t,0,1,1
1946-10,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148543.0,,,,0,1,1
1946-11,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,424223.0,,,t,0,1,1
1946-11,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,149417.0,,,,0,1,1
1946-12,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,377475.0,,,t,0,1,1
1946-12,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,156844.0,,,,0,1,1
1947-01,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,366990.0,,,t,0,1,1
1947-01,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,158155.0,,,,0,1,1
1947-02,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,344708.0,,,t,0,1,1
1947-02,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,145922.0,,,,0,1,1
1947-03,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,418980.0,,,t,0,1,1
1947-03,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154223.0,,,,0,1,1
1947-04,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,548737.0,,,t,0,1,1
1947-04,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150291.0,,,,0,1,1
