REF_DATE,GEO,DGUID,Commodity,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,longitude,latitude
1946-01,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,770.0,,,,0,1.0,1.0
1946-01,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,1818.0,,,,0,1.0,1.0
1946-02,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,625.0,,,,0,1.0,1.0
1946-02,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,1497.0,,,,0,1.0,1.0
1946-03,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,1274.0,,,,0,1.0,1.0
1946-03,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,1705.0,,,,0,1.0,1.0
1946-04,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,3427.0,,,,0,1.0,1.0
1946-04,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,3289.0,,,,0,1.0,1.0
1946-05,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,7807.0,,,,0,1.0,1.0
1946-05,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,3823.0,,,,0,1.0,1.0
1946-06,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,12775.0,,,,0,1.0,1.0
1946-06,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,4615.0,,,,0,1.0,1.0
1946-07,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,11610.0,,,,0,1.0,1.0
1946-07,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,6243.0,,,,0,1.0,1.0
1946-08,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,9813.0,,,,0,1.0,1.0
1946-08,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,4786.0,,,,0,1.0,1.0
1946-09,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,8056.0,,,,0,1.0,1.0
1946-09,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,2886.0,,,,0,1.0,1.0
1946-10,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,6152.0,,,,0,1.0,1.0
1946-10,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,2416.0,,,,0,1.0,1.0
1946-11,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,2775.0,,,,0,1.0,1.0
1946-11,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,1515.0,,,,0,1.0,1.0
1946-12,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,1180.0,,,,0,1.0,1.0
1946-12,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,1208.0,,,,0,1.0,1.0
1947-01,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,792.0,,,,0,1.0,1.0
1947-01,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,1728.0,,,,0,1.0,1.0
1947-02,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,641.0,,,,0,1.0,1.0
1947-02,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,1420.0,,,,0,1.0,1.0
1947-03,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,1172.0,,,,0,1.0,1.0
1947-03,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,1628.0,,,,0,1.0,1.0
1947-04,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,2826.0,,,,0,1.0,1.0
1947-04,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,4406.0,,,,0,1.0,1.0
1947-05,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,6231.0,,,,0,1.0,1.0
1947-05,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,5230.0,,,,0,1.0,1.0
1947-06,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,10430.0,,,,0,1.0,1.0
1947-06,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,6506.0,,,,0,1.0,1.0
1947-07,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,10150.0,,,,0,1.0,1.0
1947-07,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,9212.0,,,,0,1.0,1.0
1947-08,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,8670.0,,,,0,1.0,1.0
1947-08,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,8460.0,,,,0,1.0,1.0
1947-09,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,7100.0,,,,0,1.0,1.0
1947-09,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,5375.0,,,,0,1.0,1.0
1947-10,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,4868.0,,,,0,1.0,1.0
1947-10,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,3981.0,,,,0,1.0,1.0
1947-11,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,1815.0,,,,0,1.0,1.0
1947-11,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,2633.0,,,,0,1.0,1.0
1947-12,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,614.0,,,,0,1.0,1.0
1947-12,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,2443.0,,,,0,1.0,1.0
1948-01,Canada,2016A000011124,Cheddar cheese,Tonnes,288,units ,0,v382649,1.1,429.0,,,,0,1.0,1.0
1948-01,Canada,2016A000011124,Ice cream mix,Kilolitres,195,units ,0,v382661,1.6,2298.0,,,,0,1.0,1.0
