Title,Description,Link,Ensemble Classification
"Contributions to annual percent change in real household final consumption expenditure, Canada, annual", Contributions to annual percent change in real household final consumption expenditure.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610013101,Consumption
"Detailed food spending, Canada, regions and provinces"," Survey of Household Spending (SHS), average household spending on detailed food categories.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110012501,Consumption
"Detailed Household Expenditure Tables, Provinces and Regions, 1996 Archived"," These supplementary tables from the 1996 Family expenditure in Canada publication (catalogue no. 62-555-XPB) provide detailed information on expenditures by household for provinces and...Description: These supplementary tables from the 1996 Family expenditure in Canada publication (catalogue no. 62-555-XPB) provide detailed information on expenditures by household for provinces and regions. Expenditure items include: food purchased from stores and restaurants (for detailed food expenditures see: Family food expenditures in Canada, 1996 catalogue no. 62-554-XPB); shelter costs; household operations including communications; household furnishings and equipment; clothing; transportation; health care; personal care; recreation; reading materials; education; tobacco products and alcoholic beverages and miscellaneous expenses. To complete the picture of an annual household budget, expenditures on items such as personal taxes, security (life and employment insurance and employer operated retirement funds), and gifts and contributions are included. Information about household income is presented by income quintile and income group.More",https://www150.statcan.gc.ca/n1/en/catalogue/62F0021X,Consumption
"Detailed household final consumption expenditure, Canada, quarterly"," Quarterly final consumption expenditure for the household sector, in current and constant 2012 prices, Canada.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610012401,Consumption
"Detailed household final consumption expenditure, provincial and territorial, annual"," Annual final consumption expenditure for the household sector, in current and constant 2012 prices, by province and territory.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610022501,Consumption
"Distributions of household economic accounts,  income, consumption and saving, by characteristic"," This table contains data described by the following dimensions (Not all combinations are available):  Geography (1 item: Canada);  Statistics (4 items: Value; Distribution of...Description: This table contains data described by the following dimensions (Not all combinations are available):  Geography (1 item: Canada);  Statistics (4 items: Value; Distribution of value; Value per household; Value per consumption unit);  Characteristics (21 items: All households; Lowest income quintile; Second income quintile; Third income quintile; ...);  Income, consumption and savings (23 items: Household disposable income; Compensation of employees; Net mixed income; Property income received; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610058701,Consumption
"Distributions of household economic accounts,  income, consumption and saving, Canada, provinces and territories"," Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...);  Statistics (4 items: Value; Distribution of value; Value per household; Value per...Description: Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...);  Statistics (4 items: Value; Distribution of value; Value per household; Value per consumption unit);  Characteristics (1 item: All households);  Income, consumption and savings (23 items: Household disposable income; Compensation of employees; Net mixed income; Property income received; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610058801,Consumption
Food Consumption in Canada: Part 1 Archived," This publication contains supply, disposition and per capita disappearance data for the following food groups: cereals, sugars and syrups, pulses and nuts, beverages, dairy products...Description: This publication contains supply, disposition and per capita disappearance data for the following food groups: cereals, sugars and syrups, pulses and nuts, beverages, dairy products and by-products, poultry, eggs and meats. Per capita disappearance is available on both a retail weight and fresh equivalent basis per day and per year.More",https://www150.statcan.gc.ca/n1/en/catalogue/32-229-X,Consumption
Food Consumption in Canada. Part II Archived," This publication contains supply, disposition and per capita disappearance data for the following food groups: oils and fats, fruits, vegetables, potatoes and fish. Per capita...Description: This publication contains supply, disposition and per capita disappearance data for the following food groups: oils and fats, fruits, vegetables, potatoes and fish. Per capita disappearance is available on both a retail weight and fresh equivalent basis per day and per year.More",https://www150.statcan.gc.ca/n1/en/catalogue/32-230-X,Consumption
Food Expenditure in Canada Archived," The Family food expenditure in Canada publication provides detailed and summary information on food expenditure by household. Food items purchased from stores and meals bought from...Description: The Family food expenditure in Canada publication provides detailed and summary information on food expenditure by household. Food items purchased from stores and meals bought from restaurants are presented separately. Summary food items purchased from stores include: fresh and frozen meat and poultry; fish; dairy products - milk, cheese; eggs; bakery and cereal products - bread, cookies, cakes; pasta products; breakfast cereal; fresh fruit; other prepared fruit; fresh vegetables; other prepared vegetables; condiments; sugar; coffee and tea; fats and oils; other prepared foods - soups, potato chips; and non-alcoholic beverages. Also, total food purchased from stores is shown by type of store - supermarkets, food specialty stores, convenience stores and other stores. Meals purchased from restaurants are presented as follows: breakfasts, lunches, dinners and between-meals food. Food expenditures are profiled by size and type of household and other household characteristics. Discussions of food purchasing patterns over the years, who goes grocery shopping, who eats out and who buys diary products are included. Information about household income is presented by income group and income quintile.Summary and detailed information for the provinces (excluding the North West Territories and the Yukon Territory), selected metropolitan areas (including Whitehorse and Yellowknife) and size of area of residence is presented. Detailed expenditure information and cross-classified tables for all levels of geography are available upon request.More",https://www150.statcan.gc.ca/n1/en/catalogue/62-554-X,Consumption
