Description,Link,Title
" This table contains 511 series, with data for years 1990 - 1990 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 511 series, with data for years 1990 - 1990 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Fuel type (14 items: Total, energy consummed as fuel (higher heating value);Coal;Coal coke;Coke oven gas; ...); North American Industry Classification System (NAICS) (66 items: Manufacturing;Food manufacturing;Fruit and vegetable preserving and specialty food manufacturing;Dairy product manufacturing; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510000801,"1990 based estimates, industrial consumption of energy (ICE), energy fuel consumption of manufacturing industries in gigajoules, by North American Industry Classification System (NAICS) Archived"
" This table contains 511 series, with data for years 1990 - 1990 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 511 series, with data for years 1990 - 1990 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Fuel type (14 items: Total, energy consumed as fuel (higher heating value);Coal;Coal coke;Coke oven gas; ...); North American Industry Classification System (NAICS) (66 items: Manufacturing;Food manufacturing;Fruit and vegetable preserving and specialty food manufacturing;Dairy product manufacturing; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510000701,"1990 based estimates, industrial consumption of energy (ICE), energy fuel consumption of manufacturing industries in natural units, by North American Industry Classification System (NAICS) Archived"
" This public use microdata file provides unaggregated data on the Aboriginal adult population - those who identify with their Aboriginal origin(s) and those who do not. For persons who...Description: This public use microdata file provides unaggregated data on the Aboriginal adult population - those who identify with their Aboriginal origin(s) and those who do not. For persons who identify, it contains almost 700 variables from the 1991 survey, such as, the group with which they identify, language proficiency, disability, chronic health conditions, schooling, work experience and the 1991 Census variables such as, income levels, marital status, fertility. The same census variables are provided for the population who does not identify.More",https://www150.statcan.gc.ca/n1/en/catalogue/89M0013X,1991 Aboriginal Peoples Survey - Adults Microdata File Archived
" The online product 2006 Profile of Aboriginal Children, Youth and Adults provides an extensive set of data about Aboriginal children, youth and adults (Métis, Inuit and off-reserve...Description: The online product 2006 Profile of Aboriginal Children, Youth and Adults provides an extensive set of data about Aboriginal children, youth and adults (Métis, Inuit and off-reserve North American Indian) living in urban, rural and northern locations across Canada. Key indicators from the 2006 Aboriginal Children's Survey (ACS) and the 2006 Aboriginal Peoples Survey (APS) are presented as part of an interactive online tool and provide data on a wide range of topics, including: family and community; childcare; nurturing; healthy living; food and nutrition; languages; education; social activities; labour activity; income; communications technology; housing; and community wellness. These data can be used to better understand the social and living conditions of Aboriginal people. Data are presented for Aboriginal Peoples using the concepts of Aboriginal identity, Treaty Indian or Registered Indian status (as defined by the Indian Act of Canada) and Aboriginal ancestry.More",https://www150.statcan.gc.ca/n1/en/catalogue/89-635-X,"2006 Profile of Aboriginal Children, Youth and Adults Archived"
" This table contains 10 series, with data for years 2014 - 2016 (not all combinations necessarily have data for all years).     This table contains data described by the following...Description: This table contains 10 series, with data for years 2014 - 2016 (not all combinations necessarily have data for all years).     This table contains data described by the following dimensions (Not all combinations are available):  Geography (1 item: Canada);  North American Industry Classification System (NAICS) (1 item: Hotels, motor hotels and motels);  Distribution of sales, type of service provided (10 items: Total sales; Room or unit accommodation for travellers; Meals and non-alcoholic beverages, prepared and served or dispensed for immediate consumption; Alcoholic beverages, prepared and served or dispensed for immediate consumption; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110023701,"Accommodation services, distribution of sales by type of service provided"
" Accommodation services, e-commerce sales,  by North American Industry Classification System,  (NAICS) Hotels, motor hotels and motels, which includes all members under Sales, (dollars...Description: Accommodation services, e-commerce sales,  by North American Industry Classification System,  (NAICS) Hotels, motor hotels and motels, which includes all members under Sales, (dollars X 1,000,000) & (percent), annual, for two years of data.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110023901,"Accommodation services, e-commerce sales"
" The operating expenses by North American Industry Classification System (NAICS), annual (percent) which include all members under industry expenditures, for traveller accommodation...Description: The operating expenses by North American Industry Classification System (NAICS), annual (percent) which include all members under industry expenditures, for traveller accommodation, annual (percentage), for five years of data.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310010301,"Accommodation services, industry expenditures"
" The summary statistics by North American Industry Classification System (NAICS), which include: operating revenue (dollars x 1,000,000), operating expenses (dollars x 1,000,000)...Description: The summary statistics by North American Industry Classification System (NAICS), which include: operating revenue (dollars x 1,000,000), operating expenses (dollars x 1,000,000), salaries wages and benefits (dollars x 1,000,000), and operating profit margin (by percent), of all NAICS under accommodation services (721), annual, for five years of data.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310010201,"Accommodation services, summary statistics"
" Active enterprises with one or more employees, by North American Industry Classification System (NAICS) and enterprise size.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310013601,Active enterprises with one or more employees
" Activities of foreign majority-owned affiliates in Canada, by North American Industry Classification System (NAICS). Users have the option of selecting information related to the...Description: Activities of foreign majority-owned affiliates in Canada, by North American Industry Classification System (NAICS). Users have the option of selecting information related to the economic and financial activity of foreign majority-owned enterprises.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610044701,"Activities of foreign majority-owned affiliates in Canada, by industry"
" Activities of foreign majority-owned affiliates in Canada, employment at establishment level, by province and the North American Industry Classification System (NAICS). Users have the...Description: Activities of foreign majority-owned affiliates in Canada, employment at establishment level, by province and the North American Industry Classification System (NAICS). Users have the option of selecting information related to the employment at foreign majority-owned affiliates and all other firms.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610045101,"Activities of foreign majority-owned affiliates in Canada, employment at establishment level, by province and industry"
" Number of employed persons by actual hours worked at main job and North American Industry Classification System (NAICS). Data are presented for 12 months earlier, previous month and...Description: Number of employed persons by actual hours worked at main job and North American Industry Classification System (NAICS). Data are presented for 12 months earlier, previous month and current month, as well as year-over-year and month-to-month level change and percentage change. Data are also available for the standard error of the estimate, the standard error of the month-to-month change and the standard error of the year-over-year change.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410028902,"Actual hours worked at main job by industry, monthly, seasonally adjusted"
" Number of employed persons by actual hours worked at main job and North American Industry Classification System (NAICS), last 5 months. Data are also available for the standard error of...Description: Number of employed persons by actual hours worked at main job and North American Industry Classification System (NAICS), last 5 months. Data are also available for the standard error of the estimate, the standard error of the month-to-month change and the standard error of the year-over-year change.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410028901,"Actual hours worked at main job by industry, monthly, seasonally adjusted, last 5 months"
" Number of employed persons by actual hours worked, class of worker, North American Industry Classification System (NAICS), and sex, last 5 years.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410003701,"Actual hours worked by industry, annual"
" Number of employed persons by actual hours worked, class of worker, North American Industry Classification System (NAICS), and sex, last 5 months.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410003601,"Actual hours worked by industry, monthly, unadjusted for seasonality"
" The 2014 article “Agriculture in Canada” gathers together a variety of statistics describing agriculture from the perspective of ecosystem goods and services.The article addresses...Description: The 2014 article “Agriculture in Canada” gathers together a variety of statistics describing agriculture from the perspective of ecosystem goods and services.The article addresses the ecological infrastructure supporting agricultural activity (Section 2), ecosystem goods and services from agriculture (Section 3), the main beneficiaries of these goods and services (Section 4) and the environmental impacts and management activities associated with agriculture (Section 5). Section 6 provides an example to illustrate how agricultural information can be integrated into a system of environmental accounts that follow international guidelines being developed by the Food and Agriculture Organization of the United Nations (FAO). Section 7 concludes with a short listing of areas requiring further research. More",https://www150.statcan.gc.ca/n1/pub/16-201-x/16-201-x2014000-eng.htm,Agriculture in Canada Archived
" This table presents data for the current year and previous 4 years on labour statistics by job category, for Canada, the provinces and territories, annually, by total number of jobs.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610048903,"Annual average number of hours worked, by NAICS industry"
" Sales for non-store retailers by commodities, for Canada, available on an annual basis, in dollars x 1,000.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010006901,"Annual non-store retail survey, commodity sales"
" This table contains 9702 series, with data for years 1999 - 2009 (not all combinations necessarily have data for all years), and was last released on 2012-03-28.  This table contains...Description: This table contains 9702 series, with data for years 1999 - 2009 (not all combinations necessarily have data for all years), and was last released on 2012-03-28.  This table contains data described by the following dimensions (Not all combinations are available): Geography (14 items: Canada;Nova Scotia;Prince Edward Island;Newfoundland and Labrador ...), Trade group (21 items: Total; all trade groups;New car dealers;Used and recreational motor vehicle and parts dealers;Furniture stores ...), Financial estimates (11 items: Sales of goods for resale;Total revenue;Opening inventory;Total operating revenue ...), Type of store (3 items: Total all stores;Chain stores;Non-chain stores ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010003501,"Annual retail store survey, financial estimates by store type and trade group based on the North American Industry Classification System (NAICS), inactive Archived"
" Estimates of financial variables for store retailers, by type of store, for Canada, provinces and territories, available on an annual basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010006601,"Annual retail trade survey, financial estimates by type of store"
" Retail store sales by method and type of store, for Canada, in dollars x 1,000, available on an annual basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010006401,"Annual retail trade survey, sales by method and type of store"
