Type,Subject,Keywords,Release date,description,title,link
Data,Prices and price indexes,Consumer price indexes,2010-05-12,"This table contains 5 series, with data for years 1972 - 2010 (not all combinations necessarily have data for all years), and was last released on 2010-05-12. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...) Commodity (5 items: Total; all commodities; Food; Total excluding energy; Energy ...).","Commodity price index, United States dollar terms, monthly",/t1/tbl1/en/tv.action?pid=1010007201
Data,Prices and price indexes,Consumer price indexes,2010-05-12,"This table contains 5 series, with data for years 1972 - 2010 (not all combinations necessarily have data for all years), and was last released on 2010-05-12. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...) Commodity (5 items: Total; all commodities; Food; Total excluding energy; Energy ...).","Commodity price index, United States dollar terms, weekly",/t1/tbl1/en/tv.action?pid=1010007301
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,201-09-20,"This table contains 51 series, with data for years 1971 - 2001 (not all combinations necessarily have data for all years), and was last released on 2001-09-20. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Prices (3 items: Paasche Price Index; 1992=100; Current dollars; seasonally adjusted at annual rates; Constant 1992 dollars; seasonally adjusted at annual rates ...), Commodity classification (31 items: Total; merchandise imports; Fresh fruits and vegetables; Total; commodities; Total; food ...).","Merchandise imports classified by commodity, Paasche Price Index (1992=100, seasonally adjusted), 1992 and current dollars (seasonally adjusted at annual rates)",/t1/tbl1/en/tv.action?pid=1010007701
Data,International trade,Merchandise imports and exports; International merchandise trade price indexes,2000-02-19,"This table contains 40 series, with data for years 1971 - 1997 (not all combinations necessarily have data for all years), and was last released on 2000-02-19. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Prices (4 items: Paasche Price Index; 1981=100; seasonally adjusted; Paasche Price Index; 1986=100; seasonally adjusted; Constant 1986 dollars; seasonally adjusted at annual rates; Constant 1981 dollars; seasonally adjusted at annual rates ...), Commodity classification (10 items: Total; merchandise imports; Other energy products; Food; Crude petroleum ...).","Merchandise imports classified by commodity, Paasche Price Index (1981 and 1986), balance of payments basis",/t1/tbl1/en/tv.action?pid=1010009601
Data,Prices and price indexes,Consumer price indexes,2018-12-20,"This table contains 18 series, with data starting from 1979 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...) Alternative measures (18 items: Consumer Price Index (CPI) excluding food; energy and the effect of indirect taxes; seasonally adjusted; Consumer Price Index (CPI) excluding the effect of indirect taxes; seasonally adjusted; Consumer Price Index (CPI) excluding the effect of indirect taxes; Consumer Price Index (CPI) excluding food; energy and the effect of indirect taxes ...).","Consumer Price Index (CPI) statistics, alternative measures, unadjusted and seasonally adjusted, Bank of Canada",/t1/tbl1/en/tv.action?pid=1010010601
Data,"Income, pensions, spending and wealth",Household spending,2018-12-12,"Average household spending on detailed food categories, Canada, regions and provinces.","Detailed food spending, Canada, regions and provinces",/t1/tbl1/en/tv.action?pid=1110012501
Data,"Income, pensions, spending and wealth",Household spending,2018-04-04,"Survey of Household Spending (SHS), average household spending, three territories and selected metropolitan areas.","Household spending, three territories and selected metropolitan areas",/t1/tbl1/en/tv.action?pid=1110012601
Data,"Income, pensions, spending and wealth",Household spending,2017-02-22,"This table contains 2356 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (31 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...); Household expenditure summary-level categories (19 items: Total expenditure; Total current consumption; Food; Shelter;...); Statistics (4 items: Average expenditure; Percent of households reporting; Estimated number of households reporting; Median expenditure per household reporting). ","Survey of household spending (SHS), household spending, summary-level categories, by province, territory and selected metropolitan areas",/t1/tbl1/en/tv.action?pid=1110019701
Data,"Income, pensions, spending and wealth",Household spending,2017-02-22,"This table contains 448 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...); Household spending, food (8 items: Total food; Food purchased from stores; Food purchased from stores locally or on day trips; Food purchased from stores while on trips overnight or longer; ...); Statistics (4 items: Average expenditure; Percent of households reporting; Estimated number of households reporting; Median expenditure per household reporting). ","Survey of household spending (SHS), household spending on food, by province and territory",/t1/tbl1/en/tv.action?pid=1110019801
Data,"Income, pensions, spending and wealth",Household spending,2014-01-29,"This table contains 624 series, with data for years 2010 - 2010 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (13 items: Canada; Atlantic Region; Newfoundland and Labrador; Prince Edward Island; ...); Statistic (1 item: Average expenditure per household); Food expenditures, summary-level categories (48 items: Food expenditures; Food purchased from stores; Bakery products;Bread and unsweetened rolls and buns; ...). ","Survey of household spending (SHS), food expenditures, Canada, regions and provinces",/t1/tbl1/en/tv.action?pid=1110021701
Data,"Income, pensions, spending and wealth",Household spending,2018-12-12,"Survey of Household Spending (SHS), average household spending, Canada, regions and provinces. ","Household spending, Canada, regions and provinces",/t1/tbl1/en/tv.action?pid=1110022201
Data,"Income, pensions, spending and wealth",Household spending,2018-12-12,"Survey of Household Spending (SHS), average household spending by household income quintile. ","Household spending by household income quintile, Canada, regions and provinces",/t1/tbl1/en/tv.action?pid=1110022301
Data,"Income, pensions, spending and wealth",Household spending,2018-12-12,"Survey of Household Spending (SHS), average household spending by household type. ",Household spending by household type,/t1/tbl1/en/tv.action?pid=1110022401
Data,"Income, pensions, spending and wealth",Household spending,2018-12-12,"Survey of Household Spending (SHS), average household spending by household tenure. ",Household spending by household tenure,/t1/tbl1/en/tv.action?pid=1110022501
