Id,Product_id,Link,Description,Result Date
"1. 2001 Food Expenditure Survey, Data Quality Indicators Archived",Articles and reports: 62F0026M2005003,https://www150.statcan.gc.ca/n1/pub/62f0026m/62f0026m2005003-eng.pdf,"Description: The Food Expenditure Survey (FES) is a periodic survey collecting data from households on food spending habits. Data are collected mainly using weekly diaries of purchases that the...Description: The Food Expenditure Survey (FES) is a periodic survey collecting data from households on food spending habits. Data are collected mainly using weekly diaries of purchases that the respondents must fill in daily during two consecutive weeks.The FES, like all surveys, is subject to error despite all the precautions taken at the various stages of the survey to control them. Although there is no exhaustive measure of a survey's data quality, certain quality measures taken at various stages of the survey can provide the user with relevant information to ensure sound data interpretation. This paper presents, for the 2001 FES, the following quality indicators the coefficients of variation, the non-response rates, the vacancy rates, the slippage rates, the imputation rates as well the impacts of imputation on the estimates.More",2005-07-08
2. A glance at price inflation in the 1990's for consumer services Archived,Articles and reports: 63-016-X19980034329,https://www150.statcan.gc.ca/n1/pub/63-016-x/63-016-x1998003-eng.pdf,"Description: Price inflation for Canadian consumers has thus far been much lower in the 1990s than in the previous two decades. This has especially been the case for the prices of consumer goods....Description: Price inflation for Canadian consumers has thus far been much lower in the 1990s than in the previous two decades. This has especially been the case for the prices of consumer goods. In the 1990-97 period, the price index for consumer goods rose by just 16%. However, the 1990s inflation rate for consumer services was a markedly higher 26%.More",1999-01-15
3. A surveillance tool to assess diets according to Eating Well with Canada’s Food Guide,Articles and reports: 82-003-X201501114243,https://www150.statcan.gc.ca/n1/pub/82-003-x/2015011/article/14243-eng.htm,Description: A surveillance tool was developed to assess dietary intake collected by surveys in relation to Eating Well with Canada’s Food Guide (CFG). The tool classifies foods in the Canadian...Description: A surveillance tool was developed to assess dietary intake collected by surveys in relation to Eating Well with Canada’s Food Guide (CFG). The tool classifies foods in the Canadian Nutrient File (CNF) according to how closely they reflect CFG. This article describes the validation exercise conducted to ensure that CNF foods determined to be “in line with CFG” were appropriately classified.More,2015-11-18
"4. A Tale of Three Cities: The Dynamics of Manufacturing in Toronto, Montreal, and Vancouver, 1976-1997 Archived",Articles and reports: 11F0019M2001177,https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2001177-eng.pdf,"Description: Recent research has suggested that investment has shifted from urban areas to more rural locales. However, Canadian manufacturing remains predominantly an urban activity with more than...Description: Recent research has suggested that investment has shifted from urban areas to more rural locales. However, Canadian manufacturing remains predominantly an urban activity with more than 40% of manufacturing employment located in Canada's three largest urban regions. This paper examines the changing manufacturing landscapes of Toronto, Montreal and Vancouver and outlines the shifts in industry mix, employment, and wage levels that have taken place over the period between 1976 and 1997. The analysis uses a longitudinal plant-level database based upon the Annual Survey of Manufactures conducted by Statistics Canada.Toronto and Vancouver both experience growth in the manufacturing sector, while Montreal experiences decline driven by differences in their industrial structure. Manufacturing activity has increased in a number of sectors of Toronto's economy, but has been particularly influenced by the growing automotive sector that ties the city to a large North American market. Montreal has experienced declines across most of the manufacturing industries. A heavy concentration of employment in labour intensive industries such as textiles and clothing, which have experienced severe declines across Canada, has amplified the level of decline in Montreal. However, Montreal has seen some growth in science-based industries. While Vancouver's manufacturing economy is much smaller in absolute terms, maintaining slightly less than a 5% share of national manufacturing employment, it has exhibited higher levels of long-run growth and restructuring than its eastern counterparts. A second focus of the paper is to explore the relationship between economic volatility and diversity in the manufacturing sector using a number of statistical measures. Toronto and Montreal have diverse industrial structures, although each has become slightly more concentrated over the study period. In Montreal, this is due to the increasing importance of other industries, as the clothing and textiles industry declines. In Toronto, this can be attributed to the increased importance of the food and transportation equipment industries. Vancouver has become increasingly diversified over the study period, reflecting the growth and dynamism of this sector. The mature manufacturing economies of Toronto and Montreal exhibit lower levels of volatility than their western counterpart.More",2001-11-23
5. Access to Financing Capital by Canadian Innovative Biotechnology Firms Archived,Articles and reports: 88F0006X2005010,https://www150.statcan.gc.ca/n1/pub/88f0006x/88f0006x2005010-eng.pdf,Description: This paper looks into Canadian innovative biotechnology firms' access to financing capital. Results show that over 70% of biotech firms that attempted to raise financing capital were...Description: This paper looks into Canadian innovative biotechnology firms' access to financing capital. Results show that over 70% of biotech firms that attempted to raise financing capital were successful. Funds were primarily sought for R&D activities and came primarily from Canadian venture capitalists. Harsher market conditions were the main reasons put forward by investors to limit or reject biotechnology firms' funding requests.More,2005-04-29
6. Advanced Technology in the Canadian Food Industry Archived,Journals and periodicals: 88-518-X,/n1/en/catalogue/88-518-X,"Description: The food-processing industry benefits from a wide a range of new advanced technologies. Technological advances include computer-based information and control systems, as well as...Description: The food-processing industry benefits from a wide a range of new advanced technologies. Technological advances include computer-based information and control systems, as well as sophisticated processing and packaging methods that enhance product quality, improve food safety and reduce costs. Continuous quality improvement and benchmarking are examples of related business practices. This study examines the use of advanced technologies in the food-processing industry. It focuses not just on the incidence and intensity of use of these new technologies but also on the way technology relates to overall firm strategy. It also examines how technology use is affected by selected industry structural characteristics and how the adoption of technologies affects the performance of firms. It considers as well how the environment influences technological change. The nature and structure of the industry are shown to condition the competitive environment, the business strategies that are pursued, product characteristics and the role of technology.Firms make strategic choices in light of technological opportunities and the risks and opportunities provided by their competitive environments. They implement strategies through appropriate business practices and activities, including the development of core competencies in the areas of marketing, production and human resources, as well as technology. Firms that differ in size and nationality choose to pursue different technological strategies. This study focuses on how these differences are reflected in the different use of technology for large and small establishments, for foreign and domestic plants and for plants in different industries.More",1999-12-20
7. Agriculture's role in the Bioproducts Industry Archived,Articles and reports: 21-004-X20060039265,https://www150.statcan.gc.ca/n1/pub/21-004-x/21-004-x2006003-eng.pdf,Description: This article provides a brief overview of the bioproducts industry in Canada and the important role agriculture plays in the growing market.,2006-07-13
8. An Analysis of Consumer Prices in 2005 Archived,Articles and reports: 11-621-M2006042,https://www150.statcan.gc.ca/n1/pub/11-621-m/11-621-m2006042-eng.htm,"Description: This survey analyzes the highlights of consumer prices in 2005 focusing on the various components of the Consumer Price Index such as energy, services and durable goods, This study...Description: This survey analyzes the highlights of consumer prices in 2005 focusing on the various components of the Consumer Price Index such as energy, services and durable goods, This study also looks at the provincial dimension and compares Canadian prices to other countries.More",2006-05-17
9. An Analysis of Financing Innovation and Commercialization in Canada's Functional Food and Nutraceutical Sector Archived,Articles and reports: 21-601-M2006079,https://www150.statcan.gc.ca/n1/pub/21-601-m/21-601-m2006079-eng.pdf,Description: The findings in this working paper highlight the importance of public support in addressing the capital requirements of functional food and nutraceutical firms and underscore the...Description: The findings in this working paper highlight the importance of public support in addressing the capital requirements of functional food and nutraceutical firms and underscore the considerable burden in this respect borne by smaller sized firms.More,2006-06-15
10. An Analysis of Profits Within the Canadian Food Processing Sector Archived,Articles and reports: 21-601-M2002059,https://www150.statcan.gc.ca/n1/pub/21-601-m/21-601-m2002059-eng.pdf,"Description: The purpose of this paper is to examine profitability trends in the Canadian food processing industry, comparing it with other manufacturing industries during the period of 1990 to 1998.",2002-11-14
