3, principle\#1 , rule\#5 ,2476,12876699.5,1
11, Caterpillar\#2 , cat\#6 ,543,0,1
4, spry\#1 , quick\#3 ,405,-1,-1
14, regal\#1 , purple\#3 ,400,-1,-1
9, pepper\#2 , pelt\#2 ,260,9593499.5,1
12, dictated\#1 , set\#6 ,228,-1,-1
8, disingenuously\#1 , artfully\#2 ,201,-1,-1
1, discover\#3 , find\#8 ,146,9593499.5,1
13, fly\#1 , fly\#1 ,30,-1,-1
5, zone\#1 , district\#1 ,26,0.1102,0.1667
15, pine\#n\#1 , pine\#v\#1 ,13,-1,-1
2, fall\#n\#2 , fall\#v\#1 ,11,-1,-1
10, derrivative\#n\#1 , derrivative\#adj\#1 ,11,-1,-1
6, elbow\#n\#1 , elbow\#v\#1 ,7,-1,-1
7, design\#n\#1 , design\#v\#1 ,7,-1,-1
